Date__(UT)__HR:MN,R.A._(ICRF/J2000.0)_DEC,APmag,S-brt,delta,deldot,S-O-T,/r,S-T-O
2016-Jun-30 00:00,07 04 25.15 +23 28 23.4,-3.91,0.75,1.720123158,-2.3198368,6.3838,/T,9.0484
2016-Jul-01 00:00,07 09 45.36 +23 21 51.2,-3.91,0.76,1.71875359,-2.4228301,6.6609,/T,9.4437
2016-Jul-02 00:00,07 15 05.03 +23 14 37.6,-3.91,0.76,1.717324442,-2.5261283,6.9379,/T,9.8391
2016-Jul-03 00:00,07 20 24.10 +23 06 42.8,-3.9,0.76,1.715835574,-2.6296057,7.2149,/T,10.2346
2016-Jul-04 00:00,07 25 42.51 +22 58 07.2,-3.9,0.77,1.714286925,-2.7331072,7.4918,/T,10.6303
2016-Jul-05 00:00,07 31 00.21 +22 48 51.0,-3.9,0.77,1.71267853,-2.836466,7.7686,/T,11.026
2016-Jul-06 00:00,07 36 17.15 +22 38 54.8,-3.9,0.78,1.711010517,-2.9395231,8.0454,/T,11.4218
2016-Jul-07 00:00,07 41 33.30 +22 28 18.8,-3.89,0.78,1.709283102,-3.0421424,8.3221,/T,11.8176
2016-Jul-08 00:00,07 46 48.59 +22 17 03.5,-3.89,0.78,1.707496569,-3.1442187,8.5988,/T,12.2136
2016-Jul-09 00:00,07 52 03.00 +22 05 09.3,-3.89,0.79,1.705651254,-3.2456774,8.8754,/T,12.6096
2016-Jul-10 00:00,07 57 16.48 +21 52 36.6,-3.89,0.79,1.70374753,-3.3464688,9.1519,/T,13.0056
2016-Jul-11 00:00,08 02 28.99 +21 39 26.0,-3.88,0.8,1.701785792,-3.4465614,9.4283,/T,13.4017
2016-Jul-12 00:00,08 07 40.50 +21 25 38.0,-3.88,0.8,1.699766449,-3.5459336,9.7046,/T,13.7977
2016-Jul-13 00:00,08 12 50.98 +21 11 13.0,-3.88,0.8,1.697689923,-3.6445694,9.9807,/T,14.1938
2016-Jul-14 00:00,08 18 00.41 +20 56 11.6,-3.88,0.81,1.695556643,-3.7424545,10.2568,/T,14.5899
2016-Jul-15 00:00,08 23 08.75 +20 40 34.4,-3.88,0.81,1.693367046,-3.8395764,10.5327,/T,14.9859
2016-Jul-16 00:00,08 28 15.98 +20 24 21.9,-3.87,0.81,1.691121576,-3.9359253,10.8085,/T,15.3819
2016-Jul-17 00:00,08 33 22.08 +20 07 34.8,-3.87,0.82,1.688820681,-4.0314981,11.0841,/T,15.7778
2016-Jul-18 00:00,08 38 27.03 +19 50 13.5,-3.87,0.82,1.686464807,-4.1263031,11.3595,/T,16.1737
2016-Jul-19 00:00,08 43 30.83 +19 32 18.8,-3.87,0.83,1.68405439,-4.2203652,11.6347,/T,16.5694
2016-Jul-20 00:00,08 48 33.46 +19 13 51.3,-3.87,0.83,1.681589849,-4.3137304,11.9096,/T,16.965
2016-Jul-21 00:00,08 53 34.90 +18 54 51.6,-3.87,0.83,1.679071566,-4.4064682,12.1843,/T,17.3604
2016-Jul-22 00:00,08 58 35.16 +18 35 20.3,-3.86,0.84,1.676499879,-4.4986699,12.4588,/T,17.7556
2016-Jul-23 00:00,09 03 34.23 +18 15 18.0,-3.86,0.84,1.673875066,-4.5904424,12.733,/T,18.1506
2016-Jul-24 00:00,09 08 32.11 +17 54 45.6,-3.86,0.85,1.671197343,-4.6818997,13.0069,/T,18.5454
2016-Jul-25 00:00,09 13 28.80 +17 33 43.6,-3.86,0.85,1.668466859,-4.7731514,13.2805,/T,18.9399
2016-Jul-26 00:00,09 18 24.30 +17 12 12.7,-3.86,0.85,1.665683705,-4.8642925,13.5537,/T,19.3342
2016-Jul-27 00:00,09 23 18.61 +16 50 13.6,-3.86,0.86,1.662847922,-4.9553945,13.8267,/T,19.7281
2016-Jul-28 00:00,09 28 11.76 +16 27 47.0,-3.85,0.86,1.65995952,-5.0464988,14.0992,/T,20.1217
2016-Jul-29 00:00,09 33 03.73 +16 04 53.6,-3.85,0.87,1.657018493,-5.1376128,14.3715,/T,20.515
2016-Jul-30 00:00,09 37 54.54 +15 41 34.1,-3.85,0.87,1.654024843,-5.2287073,14.6434,/T,20.9079
2016-Jul-31 00:00,09 42 44.20 +15 17 49.3,-3.85,0.87,1.650978597,-5.3197181,14.9149,/T,21.3004
2016-Aug-01 00:00,09 47 32.73 +14 53 39.8,-3.85,0.88,1.64787983,-5.4105502,15.1861,/T,21.6926
2016-Aug-02 00:00,09 52 20.13 +14 29 06.4,-3.85,0.88,1.644728678,-5.5010867,15.4569,/T,22.0844
2016-Aug-03 00:00,09 57 06.42 +14 04 09.8,-3.85,0.88,1.641525348,-5.5911999,15.7274,/T,22.4758
2016-Aug-04 00:00,10 01 51.61 +13 38 50.8,-3.85,0.89,1.638270121,-5.6807642,15.9975,/T,22.8669
2016-Aug-05 00:00,10 06 35.73 +13 13 10.1,-3.85,0.89,1.634963348,-5.7696656,16.2672,/T,23.2576
2016-Aug-06 00:00,10 11 18.79 +12 47 08.4,-3.84,0.9,1.631605441,-5.8578083,16.5366,/T,23.6479
2016-Aug-07 00:00,10 16 00.82 +12 20 46.4,-3.84,0.9,1.62819686,-5.9451165,16.8056,/T,24.0378
2016-Aug-08 00:00,10 20 41.84 +11 54 05.0,-3.84,0.9,1.624738105,-6.0315326,17.0742,/T,24.4273
2016-Aug-09 00:00,10 25 21.86 +11 27 04.7,-3.84,0.91,1.621229704,-6.1170124,17.3425,/T,24.8164
2016-Aug-10 00:00,10 30 00.93 +10 59 46.5,-3.84,0.91,1.617672208,-6.2015211,17.6104,/T,25.2052
2016-Aug-11 00:00,10 34 39.06 +10 32 10.9,-3.84,0.92,1.614066187,-6.2850284,17.8778,/T,25.5936
2016-Aug-12 00:00,10 39 16.29 +10 04 18.8,-3.84,0.92,1.610412228,-6.3675056,18.1449,/T,25.9815
2016-Aug-13 00:00,10 43 52.65 +09 36 10.8,-3.84,0.92,1.606710934,-6.4489247,18.4115,/T,26.3691
2016-Aug-14 00:00,10 48 28.16 +09 07 47.7,-3.84,0.93,1.602962923,-6.5292594,18.6777,/T,26.7562
2016-Aug-15 00:00,10 53 02.87 +08 39 10.2,-3.84,0.93,1.599168828,-6.6084893,18.9434,/T,27.143
2016-Aug-16 00:00,10 57 36.80 +08 10 19.0,-3.84,0.93,1.595329291,-6.6866063,19.2086,/T,27.5293
2016-Aug-17 00:00,11 02 09.99 +07 41 14.9,-3.84,0.94,1.591444951,-6.7636237,19.4734,/T,27.9151
